Bond,Loss (dB),Uncertainty (dB)
1,0.8052525955135934,0.13603465386118027
2,0.4967096052132547,0.1781578395376299
3,0.29936994856689125,0.1570723999392271
4,0.5694673121906817,0.10960723913447791
5,0.32111460814485326,0.10853877197540254
6,0.5578090379422065,0.09901295104926999
7,1.2065858524874784,0.09523557544997444
8,1.556113703198207,0.09755034749483171
